address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2060 Kilkare Rd,Sunol,CA,94586,1499950,2914.0,5.0,3.0,16.0,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2060-Kilkare-Rd-Sunol-CA-94586/24932369_zpid/
10820 Foothill Rd,Sunol,CA,94586,1400000,1455.0,2.0,2.0,25.0,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/10820-Foothill-Rd-Sunol-CA-94586/24932306_zpid/
5100 Sheridan Rd,Sunol,CA,94586,4200000,NA,NA,NA,21.0,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5100-Sheridan-Rd-Sunol-CA-94586/116151020_zpid/
2947 Kilkare Rd,Sunol,CA,94586,399000,834.0,2.0,1.0,85.0,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2947-Kilkare-Rd-Sunol-CA-94586/24932384_zpid/
9925 Foothill Rd,Sunol,CA,94586,1200000,NA,NA,NA,185.0,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/9925-Foothill-Rd-Sunol-CA-94586/2112216954_zpid/
822 Kilkare Rd,SUNOL,CA,94586,1549950,2374.0,3.0,3.0,32.0,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/822-Kilkare-Rd-Sunol-CA-94586/24932332_zpid/
0 Parkway,Sunol,CA,94586,299000,NA,NA,NA,228.0,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Parkway-Sunol-CA-94586/2096816855_zpid/
3333 Little Valley Rd LOT C,Sunol,CA,94586,1125000,NA,NA,NA,55.0,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/3333-Little-Valley-Rd-LOT-C-Sunol-CA-94586/2094827152_zpid/
227 Kilkare Rd,Sunol,CA,94586,2450000,4350.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/227-Kilkare-Rd-Sunol-CA-94586/24932269_zpid/
0 Mission Rd,Sunol,CA,94586,6000000,NA,NA,NA,651,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Mission-Rd-Sunol-CA-94586/2108383456_zpid/
3333 Little Valley Rd LOT B,Sunol,CA,94586,1500000,NA,NA,NA,55,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/3333-Little-Valley-Rd-LOT-B-Sunol-CA-94586/2094827183_zpid/
0 B Rd,Sunol,CA,94586,1500000,NA,NA,NA,293,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-B-Rd-Sunol-CA-94586/2097649214_zpid/
